,,,,
,Dataset.csv,N° Secuencias,Describe,Link
,./Clusters_in_csv/mycotione_reductase.csv,769,Cluster: Mycothione reductase,https://www.uniprot.org/uniref/UniRef50_A0A031HXE5
,./Clusters_in_csv/outer_membrane_protein.csv,350,Cluster: Outer membrane protein,https://www.uniprot.org/uniref/UniRef90_A0A024E8H6
,./Clusters_in_csv/phosphotriesterase.csv,371,Cluster: Phosphotriesterase,https://www.uniprot.org/uniref/UniRef90_A0A024L284
,./Clusters_in_csv/pressure_regulated_protein.csv,717,Cluster: Pressure-regulated protein,https://www.uniprot.org/uniref/UniRef50_A0A010TCE1
,./Clusters_in_csv/protein_CreA.csv,816,Cluster: Protein CreA,https://www.uniprot.org/uniref/UniRef50_A0A024HNC9
,./Clusters_in_csv/protein_pb1_f2.csv,159,Cluster: Protein PB1-F2,https://www.uniprot.org/uniref/UniRef90_A0A023PTM3
,./Clusters_in_csv/putative_mobilization_protein.csv,789,Cluster: Putative mobilization protein,https://www.uniprot.org/uniref/UniRef50_A0A016BQD2
,./Clusters_in_csv/putative_sperm_activating_peptide.csv,164,Cluster: Putative sperm-activating peptide,https://www.uniprot.org/uniref/UniRef90_A0A013SC14
,./Clusters_in_csv/pyruvate_carboxylase.csv,258,Cluster: Pyruvate carboxylase,https://www.uniprot.org/uniref/UniRef90_A0A023XQQ3
,./Clusters_in_csv/quinolinase_synthase.csv,196,Cluster: Quinolinate synthase,https://www.uniprot.org/uniref/UniRef90_A0A009FP77
,./Clusters_in_csv/ribokinase.csv,473,Cluster: Ribokinase,https://www.uniprot.org/uniref/UniRef90_A0A067HQX2
,./Clusters_in_csv/ribonucleoside_diphosphate_reductase.csv,331,Cluster: Ribonucleoside-diphosphate reductase,https://www.uniprot.org/uniref/UniRef90_A0A024HF91
,./Clusters_in_csv/sensor_protein_QseC.csv,709,Cluster: Sensor protein QseC,https://www.uniprot.org/uniref/UniRef50_A0A069AWE5
,./Clusters_in_csv/tape_measure_protein.csv,104,Cluster: Tape measure protein,https://www.uniprot.org/uniref/UniRef90_A0A023W606
,./Clusters_in_csv/thiazole_synthase.csv,98,Cluster: Thiazole synthase,https://www.uniprot.org/uniref/UniRef90_A0A014LH77
,./Clusters_in_csv/transketolase.csv,537,Cluster: Transketolase,https://www.uniprot.org/uniref/UniRef90_A0A060VG22
,./Clusters_in_csv/xylulose_kinase.csv,1124,Cluster: Xylulose kinase,https://www.uniprot.org/uniref/UniRef50_A0A024L172
,./Clusters_in_csv/adenylosuccinate_lyase.csv,499,Cluster: Adenylosuccinate lyase,https://www.uniprot.org/uniref/UniRef90_A0A011VKV2
,./Clusters_in_csv/absortion.csv,81,Absortion,https://github.com/fhalab/embeddings_reproduction/blob/master/inputs/absorption.txt
,./Clusters_in_csv/enantioselectivity.csv,152,Enantioselectivity,https://github.com/fhalab/embeddings_reproduction/blob/master/inputs/enantioselectivity.txt
,./Clusters_in_csv/localization.txt,254,Localization,https://github.com/fhalab/embeddings_reproduction/blob/master/inputs/localization.txt
,./Clusters_in_csv/small_uniprot.csv,1000,Small_uniprot,https://github.com/fhalab/embeddings_reproduction/blob/master/inputs/small_uniprot.txt
,./Clusters_in_csv/T50.csv,261,T50,https://github.com/fhalab/embeddings_reproduction/blob/master/inputs/T50.txt
,./Clusters_in_csv/,,,
,./Clusters_in_csv/,,,
,./Clusters_in_csv/,,,
